eno	code	name	team	grade	date	state	id	pw
1	EMP-001	강응결	0	0	2009-05-22	0	user001	user001!
2	EMP-002	이정훈	0	1	2010-03-15	0	user002	user002!
3	EMP-003	최민석	0	2	2011-07-21	0	user003	user003!
4	EMP-004	정유진	0	2	2012-11-05	0	user004	user004!
5	EMP-005	박소연	0	3	2014-02-18	0	user005	user005!
6	EMP-006	김태현	0	3	2015-06-30	0	user006	user006!
7	EMP-007	김수미	1	0	2007-09-11	0	user007	user007!
8	EMP-008	배성우	1	1	2009-12-03	0	user008	user008!
9	EMP-009	장민지	1	2	2011-05-16	0	user009	user009!
10	EMP-010	이수현	1	2	2012-10-09	0	user010	user010!
11	EMP-011	김하늘	1	3	2013-08-25	0	user011	user011!
12	EMP-012	최유진	1	3	2014-11-11	0	user012	user012!
13	EMP-013	박지호	2	0	2007-09-11	0	user013	user013!
14	EMP-014	김영훈	2	1	2009-11-20	0	user014	user014!
15	EMP-015	최지은	2	2	2011-03-14	0	user015	user015!
16	EMP-016	박성민	2	2	2012-06-18	0	user016	user016!
17	EMP-017	이은지	2	3	2013-09-27	0	user017	user017!
18	EMP-018	정현우	2	3	2014-12-05	0	user018	user018!
19	EMP-019	홍박사	3	0	2008-08-25	0	user019	user019!
20	EMP-020	한상우	3	1	2010-01-08	0	user020	user020!
21	EMP-021	김다영	3	2	2011-09-19	0	user021	user021!
22	EMP-022	이준호	3	2	2012-04-23	0	user022	user022!
23	EMP-023	박은지	3	3	2013-06-11	0	user023	user023!
24	EMP-024	정민석	3	3	2014-08-28	0	user024	user024!
